boxID,magnification,imageName,specimenNR,formation,colony.id,zooid.id,zh,oh,ow.m,ow.b,o.side,mpw.b,cw.m,cw.b,cw.d,c.side,zh.zw,oh.ow,area,ln.zh,ln.mpw.b,ln.cw.m,ln.cw.d,ln.ow.m,ln.oh,ln.o.side,ln.c.side,ln.area
683_693_364_702,x30,388_CV_1_15v_x30_BSE,388CV,NKBS,388CV,683_693_364_702_388_CV_1_15v_x30_BSE.tif,925.7675764,0.121853136,390.6153569,310.7616065,342.6029614,146.204993,319.8809876,183.554435,357.4007531,428.2519604,2.590278752,0.000311952,121507.386,6.830623206,4.985009698,5.767949013,5.87885771,5.967723334,-2.104938763,5.83657223,6.059711715,11.70773033
326_995_391_596,x30,388_CV_1_15v_x30_BSE,388CV,NKBS,388CV,326_995_391_596_388_CV_1_15v_x30_BSE.tif,806.6049813,0.103976953,450.8907944,377.1628944,355.7113364,171.8153844,393.6188392,249.9605127,447.6359666,299.9654953,1.801921743,0.000230603,132596.2134,6.692834058,5.146420554,5.975383028,6.103980328,6.111225169,-2.26358601,5.874119549,5.703667452,11.7950638
1054_1110_345_651,x30,388_CV_2_15v_x30_BSE,388CV,NKBS,388CV,1054_1110_345_651_388_CV_2_15v_x30_BSE.tif,761.1465516,0.124818124,381.2024057,285.8645971,308.6178366,132.2707883,286.2834187,162.7986269,338.2838284,297.1371361,2.250023465,0.000327433,94557.23611,6.634825917,4.884851248,5.656982295,5.823885272,5.943330483,-2.08089761,5.732103737,5.69419377,11.4569606
651_314_461_658,x30,388_CV_2_15v_x30_BSE,388CV,NKBS,388CV,651_314_461_658_388_CV_2_15v_x30_BSE.tif,802.1499501,0.098483163,450.5434034,394.8069376,312.1343792,148.5240188,387.8203765,216.1716172,473.6692256,355.7588595,1.693481246,0.000218588,139532.6937,6.687295561,5.000746688,5.960542285,6.160509242,6.110454417,-2.317869676,5.743433798,5.87425314,11.84605422
33_447_418_661,x30,388_CV_2_15v_x30_BSE,388CV,NKBS,388CV,33_447_418_661_388_CV_2_15v_x30_BSE.tif,1315.147355,0.100557666,627.1690895,488.9002018,572.0473809,231.1703915,584.589444,359.6943386,606.6707746,565.8577001,2.167810632,0.000160336,293003.4528,7.181703995,5.443155064,6.370909796,6.407986263,6.441216184,-2.297023924,6.349221822,6.338342633,12.58793967
866_729_409_700,x30,388_CV_2_15v_x30_BSE,388CV,NKBS,388CV,866_729_409_700_388_CV_2_15v_x30_BSE.tif,805.3227955,0.104660676,447.7089587,371.5217447,336.8133879,133.6735522,381.2452631,223.2667779,444.0047957,320.6928452,1.813770489,0.000233769,131311.5421,6.691243185,4.89540065,5.943442903,6.095835363,6.104143375,-2.257031816,5.819529032,5.770483797,11.78532796
326_1285_418_655,x30,390_CC_1_15v_x30_BSE,390CC,NKBS,390CC,326_1285_418_655_390_CC_1_15v_x30_BSE.tif,829.035087,0.106145912,462.6234019,357.0806107,335.5190357,175.2674126,378.4962027,234.5325149,447.4412629,365.4445023,1.852835569,0.000229443,136224.1767,6.720262479,5.16631288,5.93620604,6.103545273,6.136913336,-2.242940602,5.815678693,5.901114427,11.82205717
676_1012_377_615,x30,390_CC_1_15v_x30_BSE,390CC,NKBS,390CC,676_1012_377_615_390_CC_1_15v_x30_BSE.tif,838.186372,0.106529859,426.218809,353.4975472,332.1101566,201.9413669,319.7788191,177.3063724,406.1585452,356.5529662,2.06369257,0.000249942,125020.5596,6.731240477,5.307977392,5.767629567,6.006743589,6.054952851,-2.23932997,5.805466711,5.876482802,11.73623348
942_1329_400_634,x30,390_CC_1_15v_x30_BSE,390CC,NKBS,390CC,942_1329_400_634_390_CC_1_15v_x30_BSE.tif,825.7505546,0.104620082,457.7832577,377.9022004,359.1772796,174.1686443,408.1649061,266.8271419,449.9265021,353.6299602,1.83530099,0.000228536,136438.1109,6.716292736,5.16002405,6.011671274,6.109084241,6.126395836,-2.257419759,5.883816082,5.868251056,11.82362639
310_618_393_591,x30,390_CC_1_15v_x30_BSE,390CC,NKBS,390CC,310_618_393_591_390_CC_1_15v_x30_BSE.tif,782.8985278,0.114971506,402.3493512,312.347949,317.5325509,152.468461,334.3488436,199.5608354,377.8121186,332.1619576,2.072190089,0.00028575,108624.2045,6.663003094,5.026957761,5.81218489,5.934397031,5.997320744,-2.163070957,5.760580336,5.805622674,11.59564954
846_692_386_640,x30,390_CC_1_15v_x30_BSE,390CC,NKBS,390CC,846_692_386_640_390_CC_1_15v_x30_BSE.tif,816.5582767,0.12650767,379.6276261,276.071177,317.3940367,125.5102104,325.5010624,183.3540521,348.2473784,354.4659796,2.344765036,0.000333241,104428.8004,6.705098284,4.832387113,5.785365726,5.852913085,5.939190841,-2.067452339,5.76014402,5.870612374,11.55626078
18_1012_417_635,x30,452_CC_1_10v_x30_BSE,452CC,NKLS,452CC,18_1012_417_635_452_CC_1_10v_x30_BSE.tif,804.063965,0.106894468,396.2595649,335.6696869,291.8370992,204.8598621,415.8939671,231.0761372,411.2918374,372.4783529,1.954971852,0.000269759,121446.7614,6.689678824,5.322326146,6.030430341,6.019303029,5.982069463,-2.235913208,5.676195767,5.920178923,11.70723127
614_947_454_615,x30,452_CC_1_10v_x30_BSE,452CC,NKLS,452CC,614_947_454_615_452_CC_1_10v_x30_BSE.tif,819.1103996,0.109349271,417.7558225,337.9415478,317.9140691,204.7867418,306.4201368,160.2785157,383.6376371,326.655596,2.135114807,0.000261754,115400.8202,6.708218873,5.321969154,5.724957156,5.949698454,6.034897105,-2.213208197,5.761781123,5.788906393,11.65616674
251_669_433_566,x30,452_CC_1_10v_x30_BSE,452CC,NKLS,452CC,251_669_433_566_452_CC_1_10v_x30_BSE.tif,794.4854814,0.108551039,368.2235175,327.3321833,290.4482088,163.3663366,330.1814848,156.8438228,389.4389439,360.4101048,2.040077126,0.000294797,113624.1356,6.677694712,5.095995143,5.799642457,5.964707098,5.908690138,-2.220534807,5.671425277,5.887242563,11.64065122
484_358_385_591,x30,452_CC_1_10v_x30_BSE,452CC,NKLS,452CC,484_358_385_591_452_CC_1_10v_x30_BSE.tif,687.9941478,0.112124552,375.4841625,309.0041395,278.2188286,180.9547211,335.0647774,174.3405392,350.6474469,264.6217906,1.962068037,0.000298613,88593.25808,6.533780332,5.19824684,5.814323879,5.859781294,5.928216293,-2.188144958,5.628407957,5.578301601,11.39181104
414_1281_548_619,x30,452_CC_1_10v_x30_BSE,452CC,NKLS,452CC,414_1281_548_619_452_CC_1_10v_x30_BSE.tif,789.0273992,0.10751322,407.6041205,334.9875628,309.2326289,211.227568,343.6307688,170.4788985,404.6270573,337.9443456,1.950011461,0.000263769,117244.4391,6.670801047,5.352936073,5.839567734,6.002965797,6.010296411,-2.230141465,5.734093838,5.822881224,11.67201626
