date,imager,File_name,specimen_no,image_no,mag,use,binomial,notes,collector,taxonID,stationID,lat,long,dateCollected,country,depth,place
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 6,NIWA 98542,6,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 7,NIWA 98542,7,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 8,NIWA 98542,8,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 9,NIWA 98542,9,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 10,NIWA 98542,10,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 11,NIWA 98542,11,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 12,NIWA 98542,12,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 13,NIWA 98542,13,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 14,NIWA 98542,14,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
Jun 10 2024,DPG,Steginoporella magnifica NIWA 98542 KAH0907.15 15,NIWA 98542,15,x60,N,Steginoporella magnifica,,DPG,DPG,KAH0907/15,-35.1868333,174.1173333,Aug 8 2009,New Zealand,34,Site M39 - Inner Bay of Islands
