"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.b","cw.d","zh.zw","oh.ow"
"443_456_207_299","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",391.419698461862,0.127096524103554,249.573479683806,216.574335782289,87.7229957755908,249.453432088408,139.32905232879,268.384007114349,1.45843153126144,0.000509254926703662
"21_534_192_318","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",436.807750382418,0.140079419856844,225.783342197208,190.99189830007,87.0843221251403,184.833214877173,88.2182600965258,225.294365226086,1.93883122617858,0.000620415210855075
"310_591_199_265","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",337.215571602503,0.124978481315998,239.325133931188,208.156396451769,95.766456294039,204.946243372512,117.347502954198,241.065332260279,1.39885552369019,0.000522212102268926
"95_197_219_263","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",342.841390979082,0.131817112245218,233.927988734909,204.580534803564,93.929039410942,224.931474737805,137.954190155293,257.954099401573,1.32907905621364,0.000563494402521433
"100_699_176_261","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",359.417911288765,0.148901557388059,211.027654796453,171.688548239974,71.1295777632089,172.755806314223,94.5070697245964,203.639991000035,1.76496723224027,0.000705602104765282
"541_644_195_266","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",373.462639997566,0.140732451561978,223.948733208051,203.104412477818,96.1070612446273,246.295075359246,156.008244881828,250.808797456401,1.4890332547545,0.00062841369784055
"212_390_224_249","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",344.010926454479,0.128976850111351,231.082029259872,205.13217183268,91.71414674317,221.054371181285,129.093116934706,255.493296804778,1.34645773786127,0.000558143143040801
"539_787_233_298","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",423.938280219952,0.147500871119331,200.751238623704,175.825837509394,82.7060335718922,214.933597486063,131.703431942145,228.045402104575,1.85900823391978,0.000734744513311885
"469_88_255_299","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",349.589707901483,0.12395572210106,253.293611030956,217.402586931071,99.3667935136937,269.992413692925,157.39841042456,277.953630794045,1.25772671831194,0.000489375636426578
"309_777_196_294","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",410.99711013062,0.149020481033155,208.084434529321,169.999035719125,72.6822295232516,178.980156606683,90.0512452121601,204.726896624037,2.00753841780438,0.000716153908245148
"509_1001_219_294","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",413.747411680442,0.167794981205411,196.702161811137,151.536909554594,75.0054005106502,186.300634025138,92.0105733297073,200.669836482644,2.06183160824087,0.000853040859645044
"61_855_180_281","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",405.863444867759,0.151819881208753,209.804708390809,173.769506433997,76.3546884571569,193.210295197569,114.291053273418,207.21894220511,1.95862135260794,0.00072362475739083
"231_83_198_263","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",350.674625983881,0.142718048567089,216.341605499305,178.645130068968,76.7637184792938,155.719979450014,73.8898124661324,204.580534803564,1.71411530584078,0.00065968840453829
"39_1021_178_299","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",430.576087700539,0.159042118289073,203.04407148874,162.555912290756,68.1580080134105,172.005463227239,97.0656182828564,187.517131706172,2.29619599970858,0.000783288658087678
"301_948_185_285","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",383.136904134179,0.14411633969955,223.364327558473,180.200739833676,80.3682881972668,172.913358381911,93.9580253827509,199.349222785352,1.92193828890278,0.000645207501461141
