"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.b","cw.d","zh.zw","oh.ow"
"546_1600_444_679","x30","033_CC_1_15v_x30_BSE","033CC","NKBS",800.500135031364,0.109890340377293,404.627057268621,321.786409382354,199.779039025044,462.623401853153,239.552586115134,460.753732136155,1.73737091899413,0.000271584261119592
"21_1620_512_560","x30","033_CC_1_15v_x30_BSE","033CC","NKBS",736.352741659781,0.104687068427026,404.452045557464,349.215623348674,198.521092659546,449.296632498086,247.155940857103,456.571168452192,1.61278852573207,0.000258836788135744
"416_562_435_751","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",886.840501076721,0.110558845123512,425.643424891431,335.243521965633,196.619083321519,413.385275219473,226.289313399027,440.726917831006,2.01222222922353,0.000259745220196253
"573_934_415_613","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",799.661181505306,0.119050238237421,347.198013511962,295.605312243032,156.982653386472,328.797191194681,199.178403725358,359.182970352318,2.22633378392335,0.000342888592688677
"1024_1500_524_769","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",873.91156397379,0.0901442847178698,464.517788354086,414.930375751971,252.669310003462,529.569295204365,266.679124304642,558.453485923837,1.56487798178589,0.000194059919722936
"543_1303_411_630","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",971.123163717672,0.111458812198946,420.614082588936,327.797710781093,190.977640385205,373.462639997566,190.048581503472,414.43788441022,2.34322971004367,0.000264990681036884
"826_258_461_791","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",995.157594466413,0.0997044835709838,446.326169317701,374.252914682274,214.927262774455,435.693566487373,234.416380951548,455.819070056547,2.18322939920648,0.000223389284395764
"204_1981_446_754","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",952.150934313688,0.111631226005301,394.392891156853,330.729463159454,201.320132013201,386.829091270038,202.64133904962,420.79531481316,2.26274129201381,0.000283045735631437
"168_201_497_722","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",979.71729830521,0.127910231186618,395.38587409591,279.190170225885,185.083496934785,298.752794554157,132.671625361332,364.701401961176,2.68635462610452,0.000323507336925219
"94_909_517_541","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",676.61796480432,0.0985507537692318,447.708958652715,364.686468646865,201.995297004612,432.598241878493,220.715354169937,466.293538190757,1.45105584655887,0.000220122362674625
"1035_689_411_633","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",957.735645854791,0.0905700148381903,521.332024431714,436.997844975958,227.124099459871,452.653829707598,261.716379708506,529.990771367431,1.80707985420903,0.000173728086121158
"447_1645_389_684","x30","033_CC_2_15v_x30_BSE","033CC","NKBS",1383.03124909,0.143466106749911,435.843538461232,320.404089751611,148.844518597752,413.124999541696,268.038818537914,433.918100107233,3.18730942255742,0.000329168828007466
"730_1541_527_607","x30","033i_CV_1_15v_x30.BSE","033iCV","NKBS",678.90805056286,0.0894062066269808,499.675852623258,431.084884306042,265.697065810307,568.253677259744,414.221002717182,536.273164912801,1.26597431119503,0.000178928411604454
"1104_1933_482_595","x30","033i_CV_1_15v_x30.BSE","033iCV","NKBS",778.187099274039,0.112208017277151,427.201557709204,312.347949045039,182.840964582223,421.580830686188,229.33138261189,430.035029591816,1.80959002342829,0.000262658258735872
"1013_804_446_531","x30","033i_CV_1_15v_x30.BSE","033iCV","NKBS",762.233352804001,0.0961139955176256,523.955327858995,402.349351162924,230.178796647003,410.741950746367,241.409610697755,458.024101568534,1.66417738759529,0.000183439294167253
"61_1044_433_629","x30","033i_CV_1_15v_x30.BSE","033iCV","NKBS",1280.80021605018,0.103172856957145,526.30951926789,421.68093528649,211.027654796453,483.078586412688,282.660310392608,544.666955076007,2.35152913925437,0.000196030763609713
"598_1157_468_616","x30","033i_CV_1_15v_x30.BSE","033iCV","NKBS",798.354200848413,0.0901590786668263,518.459159232393,429.423542754433,247.288115709025,452.316823206706,280.40183532138,509.791501376888,1.5660406238475,0.000173898130761759
"830_404_472_676","x30","033i_CV_1_15v_x30.BSE","033iCV","NKBS",899.029528289258,0.088330080957998,501.945913341754,427.96577153877,228.128972393207,499.915578490977,288.627966225583,538.57604377687,1.66927129172816,0.000175975296561201
"482_674_532_604","x30","033i_CV_1_15v_x30.BSE","033iCV","NKBS",802.267058123531,0.0915663200508242,508.049872407645,416.221210760404,226.83617527973,494.019831260021,319.135258854636,518.656078857258,1.54681896313863,0.000180230967516815
"290_294_469_585","x30","033i_CV_1_15v_x30.BSE","033iCV","NKBS",726.410062594876,0.102008551776992,358.158043542315,326.69099977593,153.545172468028,455.0687205656,270.873469083863,423.729474474034,1.71432507379043,0.000284814353931827
"681_1782_422_664","x30","033i_CV_2_15v_x30.BSE","033iCV","NKBS",966.846032935114,0.132174036693284,418.511258609849,305.38754702535,168.041579116844,401.858381668072,240.386624145264,411.212381177331,2.35120846840011,0.000315819548397148
"568_1032_445_641","x30","033i_CV_2_15v_x30.BSE","033iCV","NKBS",753.272766531461,0.104918258587829,453.230972141841,363.130050902069,209.596942335375,436.171422378272,265.681692343416,454.993916797434,1.6555666762174,0.000231489604719676
"332_1424_484_625","x30","033i_CV_2_15v_x30.BSE","033iCV","NKBS",698.70605811688,0.0963409088895257,480.909162328756,380.898694290522,243.694233173433,453.318080823507,286.549622781389,491.322604982159,1.4220922282667,0.000200330782684622
"894_1413_475_611","x30","033i_CV_2_15v_x30.BSE","033iCV","NKBS",738.361722094768,0.0963825739739148,480.540972879657,382.927183259694,255.775577557756,498.349834983498,300.552088510904,508.293684704382,1.45262816421611,0.000200570980235752
"230_1866_471_563","x30","033i_CV_2_15v_x30.BSE","033iCV","NKBS",680.598553294088,0.0929854854685781,479.639133556834,403.025569036958,243.694233173433,498.013678069722,318.242355959485,507.736227422632,1.34045694700364,0.000193865510470404
"1012_921_590_692","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",828.014592127985,0.0839364623970884,593.979184169052,506.761888320555,220.307845125791,580.391445472324,378.733542724811,635.73985952758,1.30244246875331,0.00014131212782231
"1145_1480_524_679","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",795.17067221863,0.0856932692640169,587.162012052966,495.818983939302,200.513723342299,573.851854050346,375.879193519371,593.311777443244,1.34022398079683,0.000145944845723921
"899_431_549_719","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",743.596655901554,0.0865030490005437,559.466784077899,478.823751127915,219.571182805824,619.416646175692,434.303870676072,630.382475120595,1.17959601551312,0.000154616952180845
"647_1393_483_696","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",793.207735659831,0.0880212461274388,571.216961408283,481.271412113998,190.198967577895,579.668467528029,394.720713708214,617.843025924576,1.28383376096676,0.000154094244523885
"387_353_463_601","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",822.644914081091,0.0939531792402833,532.494725129697,440.878265834596,156.591878646632,410.771782750673,268.855385701778,483.610975967688,1.70104682267603,0.000176439643073271
"323_1850_381_589","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",765.964581087715,0.0991137695695325,491.308749101363,405.366655365035,142.727350271741,434.021633184184,308.42197777077,474.229405411407,1.61517732208786,0.000201734183954221
"384_1130_391_734","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",934.139162260492,0.0987179452693346,499.793005765179,409.294151760462,146.948098091704,396.056792806304,247.964406023259,464.271515336134,2.0120535751244,0.000197517660572697
"103_1465_439_634","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",819.110399555465,0.0909662179538433,539.101612132013,454.176257802926,164.991747318203,441.708211693867,307.001659704491,516.67823508462,1.58533947035976,0.000168736683227666
"15_261_492_434","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",717.880578753559,0.0875099958596513,627.930613545889,457.78325767392,195.897593884405,464.033913999175,302.930028889205,549.990370239859,1.30526026926704,0.000139362525049523
"27_700_478_596","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",715.481180776179,0.0893008175749568,541.377370658026,462.390842708018,166.960496473622,589.129710923257,399.19671217261,607.639518106365,1.17747638107194,0.000164951145753312
"837_1868_396_667","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",1131.04578161955,0.118995705967656,505.634903635507,371.931966620543,169.774635611876,473.735332531579,305.565828687416,464.717056636537,2.43383746188632,0.000235339184680643
"535_772_431_636","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",787.866962540497,0.0992159565773467,497.491228092949,400.17777530611,134.313701287951,368.134765793622,209.317431952826,451.56969949228,1.74472947017112,0.000199432574836897
"17_2142_397_486","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",678.346289616292,0.0941118532040532,491.053731115069,404.233174365745,178.003782972433,429.867194972127,312.509190140329,476.051872500055,1.42494196284506,0.000191652862488891
"751_39_460_577","x30","034_CV_1_15v_x30_BSE","034CV","NKBS",1343.23837788572,0.10757713117461,579.217323365428,434.632916108865,178.003782972433,588.357305896882,397.908817698384,592.815896904948,2.26586092731096,0.000185728442218465
"528_153_523_699","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",873.995689951916,0.0814656641901416,585.845766495134,520.014100990443,199.731327341753,582.529286543202,351.581975847809,643.617244166878,1.35794324635172,0.000139056504030943
"561_1514_511_686","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",791.652800515587,0.0866629917267064,584.058185356165,473.321293487884,195.8419846025,544.229325881998,348.903579838711,567.910949308112,1.39397347679255,0.000148380750239565
"717_606_548_730","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",882.869127495507,0.0789367627778673,610.569975851356,547.638531417521,208.156396451769,621.253708137354,357.370275660484,694.878198905179,1.27053795742408,0.000129283728155484
"180_591_524_657","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",797.091197430922,0.0851030979370162,599.121265411829,501.837402090776,204.474024040232,616.309572130245,405.63526578488,624.190050183129,1.27700080640034,0.000142046531896205
"393_1059_523_643","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",793.283257022478,0.084928951821274,594.501577281976,500.642226066957,209.804708390809,530.853238394654,313.882901748371,610.128291905851,1.30019090664442,0.000142857403691953
"905_1111_451_753","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",911.143660874795,0.0871876549831208,534.908059824515,473.830165523473,191.426254562291,498.549235565098,285.483317078002,566.028249641304,1.60971411135786,0.000162995590329531
"120_2211_307_605","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",1301.92268149214,0.146787487793948,404.435213517206,303.064834219124,138.976815397022,408.951377395165,279.346180531205,413.414916481632,3.1491913561614,0.000362944379935165
"43_1401_370_596","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",703.235590406032,0.105610958378984,448.228683019468,360.824344438628,142.488667623253,378.334294554854,229.248250650987,431.069092204771,1.63137558020971,0.000235618474184966
"298_1981_266_684","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",817.404872730574,0.145553908039761,322.774976872902,243.386753604207,100.456971981679,215.72397154932,99.8861118839707,273.827967164245,2.98510368095559,0.000450945452618141
"640_1962_436_566","x30","034_CV_2_15v_x30_BSE","034CV","NKBS",634.543702289737,0.132549624477976,367.405451787712,277.997712711503,100.456971981679,387.156284979206,285.497624269632,351.887775097406,1.80325588780141,0.000360772067570091
"23_1128_410_619","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",819.685317719658,0.100689680595177,428.93182111101,375.027002553251,165.313264506511,352.355636619292,226.367517409555,431.605699491019,1.89915313603664,0.000234745187089111
"567_1080_421_613","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",810.902909496624,0.109528836196557,414.766276947135,336.297800485165,157.320539672806,381.316681418846,228.582106546836,425.528254700398,1.90563822857675,0.000264073629617957
"566_1739_431_522","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",684.062567416031,0.0954933245119271,445.685101900051,387.057804146374,172.85823149286,480.651459328704,324.075772730766,478.405578030502,1.42987999895857,0.000214261872575095
"895_754_413_580","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",758.372467860427,0.097687139136562,421.958520494745,373.232891992795,161.74984494842,422.522811005404,267.372566661204,470.181214388845,1.61293655435847,0.000231508867321898
"1125_1056_423_565","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",740.322953267185,0.10602959151823,397.693192541034,326.590961700774,144.707335104909,411.540039178592,229.248250650987,435.55604681475,1.69971914907671,0.000266611532474973
"297_822_394_637","x30","034i_CV_1_15v_x30.BSE","034iCV","NKBS",832.1561466129,0.100613389920856,439.319053554647,370.258935699027,158.450216292512,372.111296494379,234.776209234424,440.621870298151,1.88859474008817,0.000229021229802729
