"boxID","image","colony.id","zooid.id","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.d","o.side","c.side","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side"
"965_532_619_745","713i_CV_3_15V_x30_BSE","713iCV","965_532_619_745_713i_CV_3_15V_x30_BSE","SHCSBSB",919.700193666807,0.039205835577303,577.369134687668,492.938292489191,258.33911754231,583.887987226209,617.313918508268,303.100265367703,348.527038917213,6.82404774048469,5.55427313092094,6.36970916173689,6.42537767654282,6.35848181011535,-3.23892967649734,5.71406365957542,5.85371581375392
"318_1415_572_777","713i_CV_3_15V_x30_BSE","713iCV","318_1415_572_777_713i_CV_3_15V_x30_BSE","SHCSBSB",925.246803706307,0.0395673740157433,554.612581850825,482.483531577758,277.232633934182,657.064131068753,663.366336633663,303.100265367703,348.527038917213,6.83006051674131,5.62485698742175,6.48778162569766,6.49732738153184,6.31826981927636,-3.22975038879569,5.71406365957542,5.85371581375392
"308_455_603_802","713i_CV_3_15V_x30_BSE","713iCV","308_455_603_802_713i_CV_3_15V_x30_BSE","SHCSBSB",949.603657008338,0.0399374668500388,576.143955580627,490.998274895541,278.955991172152,656.773968801824,638.667159065703,303.100265367703,348.527038917213,6.85604469439202,5.63105403164524,6.48733992398164,6.4593834408421,6.3563575523534,-3.22044037689071,5.71406365957542,5.85371581375392
"963_1412_556_677","713i_CV_3_15V_x30_BSE","713iCV","963_1412_556_677_713i_CV_3_15V_x30_BSE","SHCSBSB",825.282154063601,0.038256427054927,536.306169072438,480.379446973922,244.425035792548,593.238339814824,597.441782743211,303.100265367703,348.527038917213,6.7157253327899,5.49890865982743,6.38559624036473,6.3926568443192,6.28470520894796,-3.26344370524486,5.71406365957542,5.85371581375392
"896_625_403_559","440_CV_1_10v_x30_BSE","440CV","896_625_403_559_440_CV_1_10v_x30_BSE","NKLS",647.245543568641,0.0578458674763064,351.00449013991,269.361324022252,172.542882819234,316.737128354842,339.793780561186,303.100265367703,348.527038917213,6.4727257334301,5.15064580163007,5.7580721817689,5.82833890583662,5.86079901580544,-2.84997326304866,5.71406365957542,5.85371581375392
"492_1250_419_473","440_CV_1_10v_x30_BSE","440CV","492_1250_419_473_440_CV_1_10v_x30_BSE","NKLS",629.23455743172,0.0545982740323776,379.412376986867,297.853642702798,160.914358984061,294.936703653438,346.003836732803,303.100265367703,348.527038917213,6.44450409248539,5.08087229168255,5.68676076943104,5.84644986381937,5.93862367949614,-2.90775300785953,5.71406365957542,5.85371581375392
"223_969_399_483","440_CV_1_10v_x30_BSE","440CV","223_969_399_483_440_CV_1_10v_x30_BSE","NKLS",585.796959862422,0.0554554032608339,367.675873913147,293.747913532101,183.198047121902,320.743860886055,336.022385533472,303.100265367703,348.527038917213,6.37297324466085,5.21056779236827,5.77064286344057,5.81717778135547,5.90720177264667,-2.8921761260948,5.71406365957542,5.85371581375392
"442_1877_367_336","440_CV_1_10v_x30_BSE","440CV","442_1877_367_336_440_CV_1_10v_x30_BSE","NKLS",739.870398223332,0.0478266365268035,475.293360459266,377.574199369585,180.238513807434,364.324148375725,440.086975349656,303.100265367703,348.527038917213,6.60647503332381,5.1942810504588,5.89804398887699,6.08697237862714,6.16393221436453,-3.04017254517586,5.71406365957542,5.85371581375392
"661_958_441_752","140_CV_2_15v_x30_BSE","140CV","661_958_441_752_140_CV_2_15v_x30_BSE","NKBS",785.098848793369,0.0559026491996311,355.647888816045,290.808520462208,154.182292102945,350.223957115243,364.387673841454,303.100265367703,348.527038917213,6.66580963188466,5.03813561732965,5.85857282732128,5.89821833891209,5.87394116503382,-2.88414350817962,5.71406365957542,5.85371581375392
"239_742_347_615","140_CV_2_15v_x30_BSE","140CV","239_742_347_615_140_CV_2_15v_x30_BSE","NKBS",746.86147801011,0.0535504270469017,399.544447535883,319.203512132186,161.926515052518,391.367518676818,398.725763974626,303.100265367703,348.527038917213,6.61587973019964,5.08714262153296,5.96964706397825,5.98827387225094,5.99032501692972,-2.92713150738812,5.71406365957542,5.85371581375392
"759_1333_503_652","140_CV_2_15v_x30_BSE","140CV","759_1333_503_652_140_CV_2_15v_x30_BSE","NKBS",692.853180194337,0.0458136026107479,436.40547435053,375.404381008762,208.398267827034,435.124453190831,462.576310708706,303.100265367703,348.527038917213,6.54081811555272,5.3394509980742,6.07563208945935,6.13681153946905,6.07857179822151,-3.08317423172317,5.71406365957542,5.85371581375392
"287_1253_333_545","140_CV_2_15v_x30_BSE","140CV","287_1253_333_545_140_CV_2_15v_x30_BSE","NKBS",754.262612906622,0.0782286753421706,277.718409061537,200.649480787332,96.0645516688309,203.13792750461,224.477036652076,303.100265367703,348.527038917213,6.62574060034764,4.56502037871635,5.31388519415848,5.41377341532295,5.62660768329865,-2.54811900629096,5.71406365957542,5.85371581375392
"779_1073_320_733","215_CC_3_15v_x30_BSE","215CC","779_1073_320_733_215_CC_3_15v_x30_BSE","NKBS",1015.04599815599,0.0533687803936601,392.784338873863,326.716004508636,177.498241709899,275.542971288629,362.743656424514,303.100265367703,348.527038917213,6.92268920882933,5.17896070300668,5.61874359206934,5.89369640415312,5.97326070520141,-2.93052934080558,5.71406365957542,5.85371581375392
"371_1345_402_612","215_CC_3_15v_x30_BSE","215CC","371_1345_402_612_215_CC_3_15v_x30_BSE","NKBS",761.756280724694,0.0499176165488657,421.309459966418,352.676207529891,174.153009020279,455.666708629838,469.300083966897,303.100265367703,348.527038917213,6.63562666295778,5.15993427498763,6.12176164014765,6.1512424017198,6.04336762296126,-2.99738130147616,5.71406365957542,5.85371581375392
"876_1369_353_655","215_CC_3_15v_x30_BSE","215CC","876_1369_353_655_215_CC_3_15v_x30_BSE","NKBS",821.677793680577,0.0515386346531476,387.844950639957,333.333333333333,156.77436140612,320.743860886055,383.864704614489,303.100265367703,348.527038917213,6.71134833972175,5.0548075831063,5.77064286344057,5.95029015877122,5.96060564800453,-2.96542356512263,5.71406365957542,5.85371581375392
"563_1676_403_660","215_CC_3_15v_x30_BSE","215CC","563_1676_403_660_215_CC_3_15v_x30_BSE","NKBS",1262.37731616253,0.0538090747372233,492.888573005795,405.836606928541,188.039181803132,476.074752184425,501.878096559259,303.100265367703,348.527038917213,7.14075198111088,5.23665035496125,6.16557488430581,6.21835725466308,6.20028313025289,-2.92231315062542,5.71406365957542,5.85371581375392
"558_950_535_686","416_CV_1_15v_x30_BSE","416CV","558_950_535_686_416_CV_1_15v_x30_BSE","NKLS",873.540689971952,0.0433937876887275,504.081523263288,427.548807469479,181.518151815182,422.471250035552,513.371083952407,303.100265367703,348.527038917213,6.77255471117028,5.20135565870524,6.04612139722878,6.24099894420265,6.22273800749737,-3.13743898893413,5.71406365957542,5.85371581375392
"245_634_439_622","416_CV_1_15v_x30_BSE","416CV","245_634_439_622_416_CV_1_15v_x30_BSE","NKLS",774.194750698186,0.044329873022694,477.927217890942,402.484685627284,215.761836682259,530.630055533499,531.4453725572,303.100265367703,348.527038917213,6.65182345782889,5.37417519141231,6.27406508452741,6.27560041273912,6.16945845707166,-3.1160964945944,5.71406365957542,5.85371581375392
"798_528_533_590","416_CV_1_15v_x30_BSE","416CV","798_528_533_590_416_CV_1_15v_x30_BSE","NKLS",740.085672326663,0.045657683944097,488.543608682755,398.103806491827,180.480080025821,572.566837389599,545.309008186425,303.100265367703,348.527038917213,6.6067659529114,5.19562041171507,6.3501294751461,6.30135262148459,6.19142873808751,-3.08658336312457,5.71406365957542,5.85371581375392
"298_1336_464_525","416_CV_1_15v_x30_BSE","416CV","298_1336_464_525_416_CV_1_15v_x30_BSE","NKLS",700.494563590466,0.0469645090829192,450.809257075499,365.972226807995,185.304053315245,399.087556286597,440.458069766251,303.100265367703,348.527038917213,6.55178660499101,5.22199800739231,5.98918083213136,6.08781525302777,6.11104431672741,-3.05836308841858,5.71406365957542,5.85371581375392
"952_531_444_713","479_CC_2_10v_x30_BSE","479CC","952_531_444_713_479_CC_2_10v_x30_BSE","NKLS",858.601330290673,0.0454345332216793,480.730767273221,413.994141282086,169.902900535724,452.69293028334,506.415184115936,303.100265367703,348.527038917213,6.75530470516111,5.13522710054937,6.11521403753919,6.2273568548116,6.17530737799671,-3.09148281942828,5.71406365957542,5.85371581375392
"19_1310_423_764","479_CC_2_10v_x30_BSE","479CC","19_1310_423_764_479_CC_2_10v_x30_BSE","NKLS",860.130212466833,0.0476554895153021,473.988178346248,388.353636781291,157.631791869165,424.095619666548,481.135600406248,303.100265367703,348.527038917213,6.75708378763139,5.06026188213817,6.04995894788806,6.17614914390211,6.16118238118628,-3.04375745057937,5.71406365957542,5.85371581375392
"584_1175_360_616","479_CC_2_10v_x30_BSE","479CC","584_1175_360_616_479_CC_2_10v_x30_BSE","NKLS",962.827097891271,0.0536354202181113,441.569481816416,338.6498864643,138.535259813963,313.947960144197,389.47040763428,303.100265367703,348.527038917213,6.8698738503937,4.93112487672083,5.74922724014833,5.96478788715953,6.09033538436922,-2.92554560418929,5.71406365957542,5.85371581375392
"962_1232_362_710","404_CV_1_10v_x30_BSE","404CV","962_1232_362_710_404_CV_1_10v_x30_BSE","NKLS",907.700263420941,0.056706486421859,402.782261386574,320.675935459439,159.452398097994,281.327728399993,344.248311825882,303.100265367703,348.527038917213,6.81091421773959,5.07174543315479,5.63952028298055,5.84136323367773,5.99839612160899,-2.86986667581691,5.71406365957542,5.85371581375392
"40_930_453_630","404_CV_1_10v_x30_BSE","404CV","40_930_453_630_404_CV_1_10v_x30_BSE","NKLS",846.497660653776,0.0544673733496585,428.541214678425,330.840596066212,165.420298033106,266.985276775315,343.285887215919,303.100265367703,348.527038917213,6.74110743801801,5.1084894959373,5.58719351371619,5.8385635904311,6.06038691702608,-2.91015341071258,5.71406365957542,5.85371581375392
