"colony.id","n.zooid","n.sm.zooid","prop.sm"
"631CV",12,0,0
"632iCV",5,0,0
"633CC",16,0,0
"634CV",10,0,0
"636CV",13,0,0
"637CC",8,0,0
"641iCV",12,1,0.0833333333333333
"642CV",10,0,0
"642iCV",15,0,0
"643CV",7,0,0
"643iCV",8,0,0
"644CV",9,0,0
"644iCV",7,0,0
"645iCV",5,0,0
"646CC",6,0,0
"647iCV",9,0,0
"648CC",7,0,0
"649CV",7,0,0
"650CV",5,0,0
"650iCV",12,0,0
"651CC",7,0,0
"652CC",9,1,0.111111111111111
"652iCV",9,0,0
"653CC",7,0,0
"654CV",5,0,0
"656CV",8,0,0
"656iCC",6,0,0
"657CV",15,0,0
"658CV",10,0,0
"659CV",12,0,0
"659iCV",6,0,0
"660CV",10,0,0
"660iCV",5,1,0.2
"662CV",8,0,0
"662iCC",17,0,0
"662iCV",6,0,0
"663CC",10,0,0
"663iCV",7,0,0
"664CV",9,0,0
"664iCC",15,0,0
"665CV",11,0,0
"665iCC",20,0,0
"666CV",9,0,0
"666iCV",7,0,0
"667CC",11,0,0
"668CV",8,0,0
"670CV",7,0,0
"671CC",10,0,0
"673CC",6,0,0
"674CV",5,0,0
"675CV",8,0,0
"676CC",15,0,0
"677CV",12,0,0
"678CV",8,0,0
"680CC",12,0,0
"681CV",8,0,0
"682CV",14,0,0
"683CV",5,0,0
"684CV",7,0,0
"686CV",23,0,0
"688CC",12,0,0
"690CC",12,0,0
"691CV",9,0,0
"693CV",6,0,0
"695CV",8,0,0
"696CC",9,0,0
"697CV",14,0,0
"698CV",6,0,0
"701CC",11,0,0
"702CV",6,0,0
"702iCV",8,0,0
"704CV",7,0,0
"704iCC",5,0,0
"705CC",8,0,0
"706CC",8,0,0
"706iCV",12,0,0
"707iCC",5,0,0
"708iCV",15,0,0
"709CC",9,0,0
"710CV",6,0,0
"711CC",10,0,0
"713iCV",6,0,0
"715CC",15,0,0
"715iCV",11,0,0
"716CC",9,0,0
"717CV",13,0,0
"718CC",7,0,0
"719F",8,0,0
"721CC",9,0,0
"723CC",12,0,0
"724CC",7,0,0
"725CC",14,0,0
"726CC",6,0,0
"727CC",9,0,0
"731CC",11,0,0
"732F",5,0,0
"734CV",5,0,0
"742CV",7,0,0
"743CC",6,0,0
"744CV",12,0,0
"746CV",5,0,0
"748CV",5,0,0
"751CV",6,0,0
"753CV",7,0,0
"756CC",5,0,0
"759CV",7,0,0
"760CV",7,0,0
"761CV",6,0,0
"768CC",5,0,0
"769CV",5,1,0.2
"780CV",6,0,0
"781CC",8,0,0
"783CC",5,0,0
"785CC",7,0,0
"786CC",6,0,0
"794CV",6,0,0
"797CV",14,0,0
"798CV",8,0,0
"801CC",8,0,0
"802CV",7,0,0
"803CV",8,0,0
"805CV",9,0,0
"806CV",8,0,0
"808CC",8,0,0
"810CV",7,0,0
"813CC",12,0,0
"816CC",5,0,0
"819F",7,0,0
"825CV",7,0,0
"826CV",11,0,0
"827CC",5,0,0
"828F",8,0,0
"829CC",5,0,0
"835F",5,0,0
"836CC",5,0,0
"840CV",18,0,0
"841CV",12,0,0
