"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow"
"861_799_388_488","x30","276_CV_2_10v_x30_BSE","276CV","NKBS",671.136536291854,0.111113906286988,400.432866024473,314.563179678267,257.46159279083,163.432996367799,354.382302192637,176.637042595705,377.63910130183,287.11280824188,1.77719026969997,0.000277484481706346
"149_1477_452_566","x30","277_CC_1_10v_x30_BSE","277CC","NKBS",751.368896014486,0.0986867360531022,463.470224266576,382.340065024875,297.151846483032,204.474024040232,495.525074102574,267.967695103453,539.068779121712,357.994184287393,1.39382751351074,0.000212930045741925
"965_1158_530_598","x30","277_CC_1_10v_x30_BSE","277CC","NKBS",765.2301105345,0.0898646742887098,498.885031611583,434.466857657136,302.753610097735,224.14319648855,531.721988286438,315.185837925921,586.331287275243,361.936392984359,1.30511560126805,0.000180131029384493
"456_1131_495_582","x30","277_CC_1_10v_x30_BSE","277CC","NKBS",709.398244388418,0.090265395487637,505.527184225755,429.452077038875,303.885975384012,204.520629324469,559.680900522481,345.641627892685,582.760629327445,322.68018221962,1.21730640109838,0.000178556956587574
"720_778_456_606","x30","277_CC_1_10v_x30_BSE","277CC","NKBS",725.173836166033,0.0945394576552116,450.310652671003,391.127402004914,292.743384447313,195.417443473102,545.655951682117,338.963335892917,545.116721424387,333.367540912506,1.33030928545204,0.000209942751952355
"666_1603_463_579","x30","277_CC_1_10v_x30_BSE","277CC","NKBS",747.220521076635,0.0969570223097381,468.024734645485,388.75660422448,307.417770465272,156.095492942382,532.829570436132,343.460353349866,519.532121264767,315.56720736347,1.43825663610091,0.000207162175698214
"543_1130_530_619","x30","277_CC_2_10v_x30_BSE","277CC","NKBS",754.991522627722,0.0953408999369417,507.470684102816,409.719724167353,328.067438101634,213.790325561279,478.155068118608,282.197517337421,530.070402981224,313.11243965528,1.42432310572614,0.000187874694881143
"45_1127_472_605","x30","277_CC_2_10v_x30_BSE","277CC","NKBS",742.66409430906,0.0944499502931776,478.550699889119,407.590759075908,307.64910296555,203.030659944652,528.632623090474,347.903159818011,504.081523263288,311.828745915906,1.47330155944073,0.000197366653763252
"816_696_573_615","x30","277_CC_2_10v_x30_BSE","277CC","NKBS",810.565356198482,0.0914624523707249,509.925021062103,424.095619666548,329.736063482386,249.224089743057,529.767225162182,261.060069314391,582.566681499929,382.211018832162,1.39136923195046,0.000179364511630007
"249_1546_458_559","x30","277_CC_2_10v_x30_BSE","277CC","NKBS",703.065194480947,0.0975218232434117,463.934143845456,391.120439903043,305.746529162568,183.168316831683,518.162325680118,312.544042142572,519.002475928938,295.589784626533,1.3546470914663,0.000210206178047326
"387_1436_384_559","x30","278_CV_1_10v_x30_BSE","278CV","NKBS",716.578339589265,0.116195572711806,369.732719798769,324.075772730766,336.210310054147,145.448731019276,456.078863252642,292.409985918636,436.349313326652,301.969636989193,1.6422125982649,0.000314269109791112
"474_1150_326_638","x30","278_CV_1_10v_x30_BSE","278CV","NKBS",847.988959164045,0.133643868486144,342.344619931088,270.958904654221,323.210502938145,126.934056855658,305.280528052805,174.901923461863,339.549271223751,401.968589818012,2.49739590401079,0.000390378176566776
"1029_1033_345_490","x30","278_CV_1_10v_x30_BSE","278CV","NKBS",678.346289616292,0.114951955031695,368.696499254253,305.815248406619,251.264835257419,137.29134930661,371.107400577442,222.778388866171,394.227150834567,325.921524706891,1.72069906443596,0.000311779350398508
"1358_2042_407_457","x30","278_CV_1_10v_x30_BSE","278CV","NKBS",586.103676894147,0.122140442357868,322.89306425439,265.184136633469,230.882462362392,118.318097493355,324.457860943415,172.755806314223,324.592114744937,268.985909195851,1.80566209180622,0.000378269018072314
"282_1632_429_624","x30","278_CV_2_10v_x30_BSE","278CV","NKBS",774.312569958411,0.105861220157371,425.937607232353,353.401244676675,312.664750016108,145.7012544861,453.870380840761,266.019703384642,460.939858860179,363.384687540803,1.67985596184532,0.000248536917989547
"927_824_392_505","x30","278_CV_2_10v_x30_BSE","278CV","NKBS",710.57761121436,0.111526617043242,418.442934755726,318.101142178785,286.578533083449,150.852522581324,373.418889370866,208.581119187705,416.956570061842,321.629672450168,1.70420053846128,0.000266527661910094
"1200_1484_376_481","x30","278_CV_2_10v_x30_BSE","278CV","NKBS",694.439161717863,0.113690048628899,394.178796780087,308.770524652186,275.993893658125,144.05666509061,418.400633445293,227.872194723639,396.469101542375,312.415767093366,1.75155934981138,0.000288422537076054
"422_705_397_603","x30","278_CV_3_10v_x30_BSE","278CV","NKBS",818.861032149327,0.10786875529667,425.281813760684,353.813235350607,340.218915180768,181.705573808129,462.075670913316,263.391356744316,451.801801603688,360.934964247622,1.81243418959984,0.000253640649109371
"749_379_414_530","x30","278_CV_3_10v_x30_BSE","278CV","NKBS",739.165258986355,0.105740148756646,424.336332363821,346.927327419614,310.167972260194,188.183938700477,413.836251283005,215.673474364277,450.905892278619,330.079286690358,1.63928942079475,0.000249189477053748
"950_734_409_548","x30","278_CV_3_10v_x30_BSE","278CV","NKBS",725.616793618394,0.104340365028156,414.703902375581,347.593855080039,305.389212856901,183.175749856616,473.505355537053,268.936399794001,470.354926666098,333.070432817456,1.54270052779421,0.00025160208146211
"312_1366_439_569","x30","278_CV_3_10v_x30_BSE","278CV","NKBS",789.629393564279,0.104659857747757,459.519849502535,363.879159590758,335.748891987735,201.995297004612,483.092678347943,287.20457250613,499.430559419853,351.37028993493,1.58105942592204,0.000227759166140613
"117_1013_435_559","x30","278_CV_3_10v_x30_BSE","278CV","NKBS",774.340703249485,0.10713481885186,423.102438949024,359.243614980727,352.708391265761,157.078028236466,519.791502854227,334.316264718451,486.742738856555,324.841601342344,1.590862362053,0.000253212482343473
"476_1780_407_629","x30","279_CC_1_10v_x30_BSE","279CC","NKBS",775.263260521413,0.102930291823991,468.614906175698,370.788076783409,324.165929636567,170.742248115483,408.228279764125,261.440513396255,450.543403393918,342.771010480933,1.72072935633148,0.000219647925124685
"518_1115_368_633","x30","279_CC_1_10v_x30_BSE","279CC","NKBS",851.499539367224,0.106818115781131,425.755366042128,344.884488448845,297.877793012949,160.142542349988,307.4669717911,141.433678793506,387.80282258118,379.707727648482,2.19570227390229,0.000250890826753694
