Expedition,SAMPLE_ID,Formation_name,GPS number,GPS lat,GPS long,Date ,Time,Collectors,Code,Total,Encrusted,Rate,Physical Description,Photo ID,Unpacked,Unpacked by,unpacking notes,Small,Large,Too large,NOTE,,,,
WABO I,53,Nukumaru Limestone,30,39S 49.699,174E 52.916,14/01/2014,,"SR, LLH, KV",,30,?,#VALUE!,"Exposure large, by driveway into gated property. Very hard, bleached layers, some dany bits. Preservation variable, some interactions picked up by PDT",,,,,,,,,,,,
WABO I,54,Nukumaru Limestone,30,39S 49.699,174E 52.916,14/01/2014,,"SR, LLH, KV",,30,27,0.900,About 5 m from sample 53.,,,,,,,,,,,,
WABO I,55,Nukumaru Brown Sand,31,39S 51.456,174E 47.197,14/01/2014,,"SR, LLH, KV",,50,33,0.660,Many small gastropods and sand dollars not uncommon. Huge exposure but high in cliff. Close to base on Brown Sand (what is reacable). SR #40,,14/2/2014,LHL,Changed from 40 shells to 33 shells,19,10,4,,,,,
WABO I,56,Nukumaru Brown Sand,32,39S 51.472,174E 47.12,14/01/2014,,"SR, LLH, KV",,50,33,0.660,,,19/2/2014,LHL,,22,9,2,,,,,
WABO I,57,Nukumaru Brown Sand,32,39S 51.472,174E 47.12,14/01/2014,,"SR, LLH, KV",,50,22,0.440,"About 2 m from Sample 57, Sandy",,17-18/2/2014,LHL,,16,5,1,,,,,
WABO I,58,Lower Kai-iwi Shellbed,33,39S 52.877,174E 53.321,14/01/2014,,"SR, LLH, KV",,50,29,0.580,"Kai-iwi Beach, much erosion and overgrowth by vegetation. SR #34. Gritty, shells fragile",,,,,,,,,,,,
WABO I,59,Lower Kai-iwi Shellbed,33,39S 52.877,174E 53.321,14/01/2014,,"SR, LLH, KV",,50,29,0.580,"Kai-iwi Beach, much erosion and overgrowth by vegetation. SR #34. Gritty, shells fragile",,,,,,,,,,,,
WABO I,60,Lower Kai-iwi Shellbed,34,39S 52.941,174E 53.475,14/01/2014,,"SR, LLH, KV",,50,19,0.380,"Kai-iwi Beach, much erosion and overgrowth by vegetation. SR #34. Gritty, shells fragile",,,,,,,,,,,,
WABO I,61,Lower Kai-iwi Shellbed,35,39S 52.963,174E 53.515,14/01/2014,,"SR, LLH, KV",,50,30,0.600,Same but fallen block,,,,,,,,,,,,
WABO I,62,Lower Kai-iwi Shellbed,36,39S 53.059,174E 53.759,14/01/2014,,"SR, LLH, KV",,50,37,0.740,very crumbly,,,,,,,,,,,,
WABO I,63,Nukumaru Limestone,37,39S 51.483,174E 47.049,15/01/2014,,"SR, LLH, KV",,30,26,0.867,Very close to fault line and can see Brown sand above,,,,,,,,,,,,
WABO I,64,Nukumaru Limestone,38,39S 51.483,174E 47.061,15/01/2014,,"SR, LLH, KV",,30,20,0.667,About 10 m from Sample 37,,,,,,,,,,,,
WABO I,65,Nukumaru Limestone,38,39S 51.483,174E 47.061,15/01/2014,,"SR, LLH, KV",,30,8,0.267,About 5 m from Sample 38,,,,,,,,,,,,
WABO I,66,Nukumaru Brown Sand,39,39S 51.481,174E 47.086,15/01/2014,,"SR, LLH, KV",,30,15,0.500,Basal Brown Sand. Very soft and Sandy but preservation not great.,,19/2/2014,LHL,,10,4,1,,,,,
WABO I,67,Nukumaru Brown Sand,40,39S 51.464,174E 47.183,15/01/2014,,"SR, LLH, KV",,30,13,0.433,About 10 m above beach.,,20/2/2014,LHL,,8,3,2,,,,,
WABO I,68,Nukumaru Brown Sand,41,39S 51.476,174E 47.458,15/01/2014,,"SR, LLH, KV",,30,15,0.500,slumped off a little.,,20/2/2014,LHL,,7,5,3,,,,,
WABO I,69,Nukumaru Brown Sand,42,39S 51.474,174E 47.42,15/01/2014,,"SR, LLH, KV",,30,12,0.400,slumped off a little.,,20/2/2014,LHL,Corrected from 13 to 12,8,4,0,,,,,
WABO I,70,Nukumaru Brown Sand,43,39S 51.466,174E 47.358,15/01/2014,,"SR, LLH, KV",,30,14,0.467,1 m height from beach level,,21/2/2014,LHL,,8,5,1,,,,,
WABO I,71,Nukumaru Brown Sand,44,39S 51.462,174E 47.348,15/01/2014,,"SR, LLH, KV",,30,15,0.500,1 m height from beachlevel,,21/2/2014,LHL,,8,5,2,,,,,
WABO I,72,Nukumaru Brown Sand,45,39S 51.457,174E 47.309,15/01/2014,,"SR, LLH, KV",,30,10,0.333,1 m height from beach level,,21/2/2014,LHL,,4,3,3,,,,,
WABO I,73,Nukumaru Brown Sand,46,39S 51.46,174E 47.302,15/01/2014,,"SR, LLH, KV",,30,18,0.600,3-4 m from beach level,,19/2/2014,LHL,,8,8,2,,,,,
WABO I,74,Nukumaru Brown Sand,47,39S 51.458,174E 47.249,15/01/2014,,"SR, LLH, KV",,30,16,0.533,8 m from beach level,,21/2/2014,LHL,channged from 15 to 16,9,7,0,,,,,
WABO I,75,Nukumaru Limestone,48,39S 51.51,174E 47.01,15/01/2014,,"SR, LLH, KV",,30,22,0.733,Close to fault line,,,,,,,,,,,,
WABO I,76,Nukumaru Limestone,49,39S 51.549,174E 46.913,15/01/2014,,"SR, LLH, KV",,30,14,0.467,Hard ,,,,,,,,,,,,
WABO I,77,Nukumaru Limestone,50,39S 51.597,174E 46.849,15/01/2014,,"SR, LLH, KV",,30,15,0.500,Sandy and gritty,,,,,,,,,,,,
WABO I,78,Nukumaru Limestone,51,39S 51.626,174E 46.814,15/01/2014,,"SR, LLH, KV",,30,5,0.167,"Very hard, small shells, very cemented",,,,,,,,,,,,
WABO I,79,Upper Castlecliff Shellbed,12,39S 55.289,174E 57.664,16/01/2014,,"SR, LLH, KV",,50,16,0.320,"""Jurassic park"" Sampled in same exposure some distance away as that on 12/1/2014",,,LHL,,,,,,,,,
