image;path.tif;folder;subfolder;ext;fileName.tif;specimenNR.tif;formation;path.txt;InstructName;SemVersion;SDMVersion;SerialNumber;DataNumber;SampleName;Format;ImageName;Directory;Date;Time;Media;DataSize;PixelSize;SignalName;DisplaySignalName;SEDetSetting;AcceleratingVoltage;DecelerationVoltage;DecelerationMode;Magnification;WorkingDistance;EmissionCurrent;PhotoSize;MagnificationDisplay;Vacuum;MicronMarker;SubMagnification;SubSignalName;SpecimenBias;Condencer1;ScanSpeed;CaptureSpeed_Integration;CalibrationScanSpeed;ImgEnhance;ColorMode;ColorPalette;ScreenMode;Comment;KeyWord1;KeyWord2;Condition;DataDisplayCombine;StageType;StagePositionX;StagePositionY;StagePositionR;StagePositionZ;StagePositionT;FocusDepth;DynamicFocus;TiltCompensation;ImageShiftX;ImageShiftY;RasterRotation;MagneticSample;UserName;Vacc;Mag;WD;LensMode;fileName.txt;specimenNR.txt;ImageNameCheck;AV.fileName;mag.fileName;magCheck;AVCheck
003i_CV_1_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/003i_CV_1_15v_x30_BSE.tif;Stegs2;Nukumaru Brown Sand;tif;003i_CV_1_15v_x30_BSE.tif;003iCV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/003i_CV_1_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;003i_CV_1_15v_x30_BSE.tif;C:\Stegs2\Nukumaru Brown Sand\;10/10/2018;14:34:49;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;6641.76 um;107000 nA;1000;0;30;1000000;0;NA;0 V;11240;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MHR.1308.BLEED.819;NA;NA;Vacc 15.0kV Mag x30 WD 6.6mm LensMode 4;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;15.7;NA;***;15.0kV;x30;6.6mm;4;003i_CV_1_15v_x30_BSE.txt;003iCV;TRUE;15;30;TRUE;TRUE
003i_CV_2_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/003i_CV_2_15v_x30_BSE.tif;Stegs2;Nukumaru Brown Sand;tif;003i_CV_2_15v_x30_BSE.tif;003iCV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/003i_CV_2_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;003i_CV_2_15v_x30_BSE.tif;C:\Stegs2\Nukumaru Brown Sand\;10/10/2018;14:37:29;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;6825.58 um;106000 nA;1000;0;30;1000000;0;NA;0 V;11240;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MHR.1308.BLEED.819;NA;NA;Vacc 15.0kV Mag x30 WD 6.8mm LensMode 4;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;108.6;NA;***;15.0kV;x30;6.8mm;4;003i_CV_2_15v_x30_BSE.txt;003iCV;TRUE;15;30;TRUE;TRUE
004_CC_1_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/004_CC_1_15v_x30_BSE.tif;Stegs;NONE;tif;004_CC_1_15v_x30_BSE.tif;004CC;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/004_CC_1_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;004_CC_1_15v_x30_BSE.tif;C:\Stegs\Mali SEM\;01/31/2018;15:42:29;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;9455.61 um;52000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;NA;NA;NA;Vacc 15.0kV Mag x30 WD 9.5mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-11.7;NA;***;15.0kV;x30;9.5mm;3;004_CC_1_15v_x30_BSE.txt;004CC;TRUE;15;30;TRUE;TRUE
004_CC_2_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/004_CC_2_15v_x30_BSE.tif;Stegs;NONE;tif;004_CC_2_15v_x30_BSE.tif;004CC;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/004_CC_2_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;004_CC_2_15v_x30_BSE.tif;C:\Stegs\Mali SEM\;01/31/2018;15:44:59;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;8547.17 um;52000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;NA;NA;NA;Vacc 15.0kV Mag x30 WD 8.5mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-27.6;NA;***;15.0kV;x30;8.5mm;3;004_CC_2_15v_x30_BSE.txt;004CC;TRUE;15;30;TRUE;TRUE
004_CV_1_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/004_CV_1_15v_x30.tif;Sara;NONE;tif;004_CV_1_15v_x30.tif;004CV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/004_CV_1_15v_x30.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;004_CV_1_15v_x30.tif;C:\Sara\;08/03/2022;14:27:43;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;8277.68 um;56000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;004_CV_1_15v_x30;NA;NA;Vacc 15.0kV Mag x30 WD 8.3mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-25.8;NA;***;15.0kV;x30;8.3mm;3;004_CV_1_15v_x30.txt;004CV;TRUE;15;30;TRUE;TRUE
004_CV_2_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/004_CV_2_15v_x30.tif;Sara;NONE;tif;004_CV_2_15v_x30.tif;004CV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/004_CV_2_15v_x30.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;004_CV_2_15v_x30.tif;C:\Sara\;08/03/2022;14:34:43;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;8051.63 um;53000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;004_CV_2_15v_x30;NA;NA;Vacc 15.0kV Mag x30 WD 8.1mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;59.7;NA;***;15.0kV;x30;8.1mm;3;004_CV_2_15v_x30.txt;004CV;TRUE;15;30;TRUE;TRUE
004i_CV_1_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/004i_CV_1_15v_x30.BSE.tif;Stegs2;Nukumaru Brown Sand;tif;004i_CV_1_15v_x30.BSE.tif;004iCV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/004i_CV_1_15v_x30.BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;004i_CV_1_15v_x30.BSE.tif;C:\Stegs2\Nukumaru Brown Sand\;10/24/2018;09:12:40;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;7426.3 um;94000 nA;1000;0;30;1000000;0;NA;0 V;6920;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MHR.1310.BLEED.218;NA;NA;Vacc 15.0kV Mag x30 WD 7.4mm LensMode 2;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-163.2;NA;***;15.0kV;x30;7.4mm;2;004i_CV_1_15v_x30.BSE.txt;004iCV;TRUE;15;30;TRUE;TRUE
004i_CV_2_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/004i_CV_2_15v_x30.BSE.tif;Stegs2;Nukumaru Brown Sand;tif;004i_CV_2_15v_x30.BSE.tif;004iCV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/004i_CV_2_15v_x30.BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;004i_CV_2_15v_x30.BSE.tif;C:\Stegs2\Nukumaru Brown Sand\;10/24/2018;09:16:10;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;7121.41 um;93000 nA;1000;0;30;1000000;0;NA;0 V;6920;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MHR.1310.BLEED.218;NA;NA;Vacc 15.0kV Mag x30 WD 7.1mm LensMode 2;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-163.2;NA;***;15.0kV;x30;7.1mm;2;004i_CV_2_15v_x30.BSE.txt;004iCV;TRUE;15;30;TRUE;TRUE
005_CV_1_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/005_CV_1_15v_x30.tif;Sara;NONE;tif;005_CV_1_15v_x30.tif;005CV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/005_CV_1_15v_x30.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;005_CV_1_15v_x30.tif;C:\Sara\;08/03/2022;14:58:34;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;7408.62 um;53000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;005_CV_1_15v_x30;NA;NA;Vacc 15.0kV Mag x30 WD 7.4mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-84.6;NA;***;15.0kV;x30;7.4mm;3;005_CV_1_15v_x30.txt;005CV;TRUE;15;30;TRUE;TRUE
005_CV_1_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/005_CV_1_15v_x30_BSE.tif;Stegs;NONE;tif;005_CV_1_15v_x30_BSE.tif;005CV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/005_CV_1_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;005_CV_1_15v_x30_BSE.tif;C:\Stegs\Mali SEM\;01/31/2018;12:56:20;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;6923.99 um;51000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;NA;NA;NA;Vacc 15.0kV Mag x30 WD 6.9mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-100.8;NA;***;15.0kV;x30;6.9mm;3;005_CV_1_15v_x30_BSE.txt;005CV;TRUE;15;30;TRUE;TRUE
005_CV_2_15v_x30_BSE;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/005_CV_2_15v_x30_BSE.tif;Stegs;NONE;tif;005_CV_2_15v_x30_BSE.tif;005CV;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/005_CV_2_15v_x30_BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;005_CV_2_15v_x30_BSE.tif;C:\Stegs\Mali SEM\;01/31/2018;13:00:01;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;6834.37 um;51000 nA;1000;0;30;1000000;0;NA;0 V;9230;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;NA;NA;NA;Vacc 15.0kV Mag x30 WD 6.8mm LensMode 3;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;-100.8;NA;***;15.0kV;x30;6.8mm;3;005_CV_2_15v_x30_BSE.txt;005CV;TRUE;15;30;TRUE;TRUE
005i_F_1_15v_x35;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/005i_F_1_15v_x35.BSE.tif;Stegs2;Nukumaru Brown Sand;tif;005i_F_1_15v_x35.BSE.tif;005iF;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/005i_F_1_15v_x35.BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;005i_F_1_15v_x35.BSE.tif;C:\Stegs2\Nukumaru Brown Sand\;10/24/2018;09:27:40;HD[Windows];2560x1920;1417.411;BSE;BSE;NA;15000 Volt;0 Volt;NA;35;5724.99 um;93000 nA;1000;0;30;1000000;0;NA;0 V;6920;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MHR.1310.BLEED.218;NA;NA;Vacc 15.0kV Mag x35 WD 5.7mm LensMode 2;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;31.4;NA;***;15.0kV;x35;5.7mm;2;005i_F_1_15v_x35.BSE.txt;005iF;TRUE;15;35;TRUE;TRUE
005i_F_2_15v_x30;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/005i_F_2_15v_x30.BSE.tif;Stegs2;Nukumaru Brown Sand;tif;005i_F_2_15v_x30.BSE.tif;005iF;NKBS;/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs2/Nukumaru Brown Sand/005i_F_2_15v_x30.BSE.txt;TM4000;01-Feb;NA;177008-10;TM4000 0001;NA;tif;005i_F_2_15v_x30.BSE.tif;C:\Stegs2\Nukumaru Brown Sand\;10/24/2018;09:30:40;HD[Windows];2560x1920;1653.646;BSE;BSE;NA;15000 Volt;0 Volt;NA;30;5961.65 um;92000 nA;1000;0;30;1000000;0;NA;0 V;6920;Capture_Slow(80);NA;24;0;Grayscale;NA;Full Screen;MHR.1310.BLEED.218;NA;NA;Vacc 15.0kV Mag x30 WD 6.0mm LensMode 2;1;0;17500000;17500000;0;0;0;NA;0;0;NA;NA;10;NA;***;15.0kV;x30;6.0mm;2;005i_F_2_15v_x30.BSE.txt;005iF;TRUE;15;30;TRUE;TRUE
