"dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","fileName","SignalName","Magnification","Comment","Vacc","Mag"
"02/06/2018","Mali",NA,NA,NA,NA,"NKBS","0000073_CC",1,"0000073_CC_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/06/2018","Mali",NA,NA,NA,NA,"NKBS","0000073_CC",2,"0000073_CC_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000074_CV",1,"0000074_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000074_CV",2,"0000074_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000075_CV",1,"0000075_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000075_CV",2,"0000075_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000075_CV",3,"0000075_CV_3_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000076_CV",1,"0000076_CV_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000076_CV",2,"0000076_CV_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000077_CV",1,"0000077_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000077_CV",2,"0000077_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000077_CV",3,"0000077_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000078_CV",1,"0000078_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000078_CV",2,"0000078_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000078_CV",3,"0000078_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000079_CV",1,"0000079_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000079_CV",2,"0000079_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000079_CV",3,"0000079_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"10/24/2018","Mali",NA,NA,NA,NA,"NKBS","000007i_CV",1,"000007i_CV_1_15v_x30_BSE","BSE",30,"MHR.1310.BLEED.218","15.0kV","x30"
"10/24/2018","Mali",NA,NA,NA,NA,"NKBS","000007i_CV",2,"000007i_CV_2_15v_x30_BSE","BSE",30,"MHR.1310.BLEED.218","15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000081_CV",1,"0000081_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000081_CV",2,"0000081_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000081_CV",3,"0000081_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000082_CV",1,"0000082_CV_1_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000082_CV",2,"0000082_CV_2_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"12/18/2017","Mali",NA,NA,NA,NA,"NKBS","0000082_CV",3,"0000082_CV_3_15v_x30_BSE","BSE",30,NA,"15.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000083_CC",1,"0000083_CC_1_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
"02/28/2018","Mali",NA,NA,NA,NA,"NKBS","0000083_CC",2,"0000083_CC_2_10v_x30_BSE","BSE",30,"LHL.122.BLEED.103","10.0kV","x30"
