"fileName","dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","SignalName","Magnification","Comment","Vacc","Mag","fileName.tif","path.tif"
"0000010_FL_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000010_FL",2,"BSE",30,NA,"15.0kV","x30","0000010_FL_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/010_F_2_15v_x30_BSE.tif"
"0000012_CC_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000012_CC",1,"BSE",30,NA,"15.0kV","x30","0000012_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/012_CC_1_15v_x30_BSE.tif"
"0000012_CC_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000012_CC",2,"BSE",30,NA,"15.0kV","x30","0000012_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/012_CC_2_15v_x30_BSE.tif"
"0000013_CC_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000013_CC",1,"BSE",30,NA,"15.0kV","x30","0000013_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/013_CC_1_15v_x30_BSE.tif"
"0000013_CC_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000013_CC",2,"BSE",30,NA,"15.0kV","x30","0000013_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/013_CC_2_15v_x30_BSE.tif"
"0000015_CV_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000015_CV",1,"BSE",30,NA,"15.0kV","x30","0000015_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/015_CV_1_15v_x30_BSE.tif"
"0000015_CV_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000015_CV",2,"BSE",30,NA,"15.0kV","x30","0000015_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/015_CV_2_15v_x30_BSE.tif"
"0000017_CV_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000017_CV",1,"BSE",30,NA,"15.0kV","x30","0000017_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/017_CV_1_15v_x30_BSE.tif"
"0000017_CV_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000017_CV",2,"BSE",30,NA,"15.0kV","x30","0000017_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/017_CV_2_15v_x30_BSE.tif"
"0000018_CC_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000018_CC",1,"BSE",30,NA,"15.0kV","x30","0000018_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/018_CC_1_15v_x30_BSE.tif"
"0000018_CC_2_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000018_CC",2,"BSE",30,NA,"15.0kV","x30","0000018_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/018_CC_2_15v_x30_BSE.tif"
"000001i_CC_1_05v_x30_BSE","03/09/2018","Mali",NA,NA,NA,NA,"NKBS","000001i_CC",1,"BSE",30,"MNH_002_BLEED39","5.0kV","x30","000001i_CC_1_05v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_1_5v_x30_BSE.tif"
"000001i_CC_2_05v_x30_BSE","03/09/2018","Mali",NA,NA,NA,NA,"NKBS","000001i_CC",2,"BSE",30,"MNH_002_BLEED39","5.0kV","x30","000001i_CC_2_05v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/001i_CC_2_5v_x30_BSE.tif"
"0000022_CV_1_15v_x30_BSE","01/31/2018","Mali",NA,NA,NA,NA,"NKBS","0000022_CV",1,"BSE",30,NA,"15.0kV","x30","0000022_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/022_CV_1_15v_x30_BSE.tif"
