"boxID","image","colony.id","zooid.id","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.d","o.side","c.side","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side"
"123_782_401_620","428_CC_1_10v_x30_BSE","428CC","123_782_401_620_428_CC_1_10v_x30_BSE","NKLS",734.369783830252,0.048714613518576,424.301036380517,349.184431546066,188.14775991735,385.234901977847,438.832214880387,276.287122290995,334.969871917181,6.59901269443785,5.23722761113466,5.95385328323849,6.08411714156859,6.05044319477074,-3.02177622165625,5.62144062313779,5.81404059320513
"218_1443_399_627","428_CC_1_10v_x30_BSE","428CC","218_1443_399_627_428_CC_1_10v_x30_BSE","NKLS",758.218054503247,0.047742832403673,429.223749649437,359.603481823635,192.129103337662,400.7591452137,432.714676808963,282.671133407763,352.691751243719,6.63097101512166,5.25816755927629,5.99336061147557,6.07007856578886,6.06197834391677,-3.0419263300519,5.64428414914904,5.86559444951096
"1031_1755_414_571","428_CC_1_10v_x30_BSE","428CC","1031_1755_414_571_428_CC_1_10v_x30_BSE","NKLS",712.789156129311,0.0455087358535456,439.083453830753,369.872626432261,200.105898398051,398.356807450716,450.890794393353,255.559195251622,343.333481706991,6.56918566297875,5.29884671840687,5.98734810479977,6.11122516914711,6.08468949485075,-3.08985097467303,5.54345406676856,5.83870222471176
"457_1114_383_622","428_CC_1_10v_x30_BSE","428CC","457_1114_383_622_428_CC_1_10v_x30_BSE","NKLS",768.26480152272,0.0483830518197609,435.756061082483,353.135313531353,175.041988200345,356.168155345785,422.703224871166,277.835246517395,362.068728772532,6.64413446736938,5.1650258777177,5.87540296580847,6.04667033676334,6.07708259384438,-3.02860569559624,5.62702829958444,5.89183405229259
"984_1324_419_614","428_CC_2_10v_x30_BSE","428CC","984_1324_419_614_428_CC_2_10v_x30_BSE","NKLS",645.322131935971,0.0462905043228177,434.090641517027,362.646054875966,192.242453850966,437.863132619475,459.830851257187,264.88336781493,304.215060809368,6.46974962148053,5.25875735586488,6.08190637893965,6.13085870720124,6.0732533637157,-3.07281842914374,5.57928960765125,5.71773488816363
"675_1622_428_549","428_CC_2_10v_x30_BSE","428CC","675_1622_428_549_428_CC_2_10v_x30_BSE","NKLS",666.619692492703,0.0436521513539338,461.164292713833,398.647218517539,194.929125819732,472.895375607495,507.610178721849,275.235723883257,299.471711304786,6.50221970713052,5.27263603516241,6.15887417080628,6.2297137882827,6.13375436283438,-3.1315027114521,5.61762790825682,5.70201996002203
"875_943_431_588","428_CC_2_10v_x30_BSE","428CC","875_943_431_588_428_CC_2_10v_x30_BSE","NKLS",679.138639193763,0.0455502920956728,432.45973791183,372.169834473503,183.673077293616,421.70999346153,453.774376951722,262.086819884057,326.034848147891,6.52082528815062,5.21315742347069,6.04431785850713,6.1176001074456,6.06948923050531,-3.08893824265847,5.56867582247226,5.78700427181289
"526_1247_443_567","428_CC_2_10v_x30_BSE","428CC","526_1247_443_567_428_CC_2_10v_x30_BSE","NKLS",686.488480292314,0.0417329984662379,472.01931180633,422.703224871166,224.477036652076,492.76148931195,526.425917939242,266.885571792033,305.305989086001,6.53158944472101,5.41377341532295,6.20002526247729,6.26611061500581,6.15701989959248,-3.17646313298838,5.58681999647056,5.7213145166005
"1145_1714_432_549","428_CC_2_10v_x30_BSE","428CC","1145_1714_432_549_428_CC_2_10v_x30_BSE","NKLS",636.908118439188,0.0465901912591233,436.595744095833,362.274177527898,190.977640385205,397.412362336379,445.953851848874,282.111773110007,265.939412279548,6.45662540409964,5.25215635514782,5.9849744376771,6.10021547547568,6.07900769623469,-3.06636524800789,5.64230335095494,5.58326850945224
"337_909_402_638","428_CC_2_10v_x30_BSE","428CC","337_909_402_638_428_CC_2_10v_x30_BSE","NKLS",750.870415343462,0.0443006897879361,457.143365282144,395.165426854829,178.530772777786,420.416580016357,477.243014512912,272.634670048832,362.158625799838,6.62123308739968,5.18476098287533,6.0412460768939,6.16802582554308,6.12499705128658,-3.1167550312185,5.60813269403977,5.89208230866457
"690_134_446_658","429_CC_1_10v_x30_BSE","429CC","690_134_446_658_429_CC_1_10v_x30_BSE","NKLS",928.603147010546,0.0556331762998949,439.439904372414,324.629863622905,180.600741968115,391.562287729327,415.215753073362,365.056400074823,396.607985748455,6.83368146456408,5.19628874932503,5.97014460297839,6.02879827206008,6.08550097142196,-2.88897555963662,5.90005186239833,5.98294835140606
"526_1097_373_694","429_CC_1_10v_x30_BSE","429CC","526_1097_373_694_429_CC_1_10v_x30_BSE","NKLS",994.556796393659,0.0519547053836024,458.407406537787,358.63291082494,191.767351433105,431.889515785558,454.038338800934,391.550484880386,461.943576791836,6.9022972071647,5.25628292602618,6.06816980503798,6.11818164117402,6.12775832263865,-2.95738299030081,5.97011445955753,6.13544275546729
"348_2085_428_709","429_CC_1_10v_x30_BSE","429CC","348_2085_428_709_429_CC_1_10v_x30_BSE","NKLS",1037.16776735413,0.0535190003707603,440.31894601077,344.66334280867,205.84113702327,373.786963980449,438.152217903136,381.510977603622,492.189982558104,6.94424897658514,5.32710469177901,5.92368602009672,6.08256637946129,6.08749934161286,-2.92771854101297,5.94413962515619,6.19886478536891
