folder;subfolder;sub.subfolder;image;ext;fileName;specimenNR
Sara2;NKLS;NONE;537_CV_2_15V_x30_BSE;txt;537_CV_2_15V_x30_BSE.txt;537CV
Sara2;NKLS;NONE;538_CC_1_15V_x30_BSE;tif;538_CC_1_15V_x30_BSE.tif;538CC
Sara2;NKLS;NONE;538_CC_1_15V_x30_BSE;txt;538_CC_1_15V_x30_BSE.txt;538CC
Sara2;NKLS;NONE;538_CC_2_15V_x30_BSE;tif;538_CC_2_15V_x30_BSE.tif;538CC
Sara2;NKLS;NONE;538_CC_2_15V_x30_BSE;txt;538_CC_2_15V_x30_BSE.txt;538CC
Sara2;NKLS;NONE;539_CV_1_15V_x30_BSE;tif;539_CV_1_15V_x30_BSE.tif;539CV
Sara2;NKLS;NONE;539_CV_1_15V_x30_BSE;txt;539_CV_1_15V_x30_BSE.txt;539CV
Sara2;NKLS;NONE;539_CV_2_15V_x30_BSE;tif;539_CV_2_15V_x30_BSE.tif;539CV
Sara2;NKLS;NONE;539_CV_2_15V_x30_BSE;txt;539_CV_2_15V_x30_BSE.txt;539CV
Sara2;NKLS;NONE;540_CC_1_15v_x30_BSE;tif;540_CC_1_15v_x30_BSE.tif;540CC
Sara2;NKLS;NONE;540_CC_1_15v_x30_BSE;txt;540_CC_1_15v_x30_BSE.txt;540CC
Sara2;NKLS;NONE;540_CV_1_15v_x30_BSE;tif;540_CV_1_15v_x30_BSE.tif;540CV
Sara2;NKLS;NONE;540_CV_1_15v_x30_BSE;txt;540_CV_1_15v_x30_BSE.txt;540CV
Sara2;NKLS;NONE;541_CV_1_15v_x30_BSE;tif;541_CV_1_15v_x30_BSE.tif;541CV
Sara2;NKLS;NONE;541_CV_1_15v_x30_BSE;txt;541_CV_1_15v_x30_BSE.txt;541CV
Sara2;NKLS;NONE;541_CV_2_15v_x30_BSE;tif;541_CV_2_15v_x30_BSE.tif;541CV
Sara2;NKLS;NONE;541_CV_2_15v_x30_BSE;txt;541_CV_2_15v_x30_BSE.txt;541CV
Sara2;NKLS;NONE;542_CV_1_15v_x30_BSE;tif;542_CV_1_15v_x30_BSE.tif;542CV
Sara2;NKLS;NONE;542_CV_1_15v_x30_BSE;txt;542_CV_1_15v_x30_BSE.txt;542CV
Sara2;NKLS;NONE;542_CV_2_15v_x30_BSE;tif;542_CV_2_15v_x30_BSE.tif;542CV
Sara2;NKLS;NONE;542_CV_2_15v_x30_BSE;txt;542_CV_2_15v_x30_BSE.txt;542CV
Sara2;NKLS;NONE;543_CC_1_15v_x30_BSE;tif;543_CC_1_15v_x30_BSE.tif;543CC
Sara2;NKLS;NONE;543_CC_1_15v_x30_BSE;txt;543_CC_1_15v_x30_BSE.txt;543CC
Sara2;NKLS;NONE;543_CC_2_15v_x30_BSE;tif;543_CC_2_15v_x30_BSE.tif;543CC
Sara2;NKLS;NONE;543_CC_2_15v_x30_BSE;txt;543_CC_2_15v_x30_BSE.txt;543CC
Sara2;NKLS;NONE;544_CV_1_15v_x30_BSE;tif;544_CV_1_15v_x30_BSE.tif;544CV
Sara2;NKLS;NONE;544_CV_1_15v_x30_BSE;txt;544_CV_1_15v_x30_BSE.txt;544CV
Sara2;NKLS;NONE;544_CV_2_15v_x30_BSE;tif;544_CV_2_15v_x30_BSE.tif;544CV
Sara2;NKLS;NONE;544_CV_2_15v_x30_BSE;txt;544_CV_2_15v_x30_BSE.txt;544CV
Sara2;NKLS;NONE;545_CV_1_15v_x30_BSE;tif;545_CV_1_15v_x30_BSE.tif;545CV
Sara2;NKLS;NONE;545_CV_1_15v_x30_BSE;txt;545_CV_1_15v_x30_BSE.txt;545CV
Sara2;NKLS;NONE;545_CV_2_15v_x30_BSE;tif;545_CV_2_15v_x30_BSE.tif;545CV
Sara2;NKLS;NONE;545_CV_2_15v_x30_BSE;txt;545_CV_2_15v_x30_BSE.txt;545CV
Sara2;NKLS;NONE;546_CC_1_15v_x30_BSE;tif;546_CC_1_15v_x30_BSE.tif;546CC
Sara2;NKLS;NONE;546_CC_1_15v_x30_BSE;txt;546_CC_1_15v_x30_BSE.txt;546CC
Sara2;NKLS;NONE;546_CC_2_15v_x30_BSE;tif;546_CC_2_15v_x30_BSE.tif;546CC
Sara2;NKLS;NONE;546_CC_2_15v_x30_BSE;txt;546_CC_2_15v_x30_BSE.txt;546CC
Sara2;NKLS;NONE;547_CV_1_15v_x30_BSE;tif;547_CV_1_15v_x30_BSE.tif;547CV
Sara2;NKLS;NONE;547_CV_1_15v_x30_BSE;txt;547_CV_1_15v_x30_BSE.txt;547CV
Sara2;NKLS;NONE;547_CV_2_15v_x30_BSE;tif;547_CV_2_15v_x30_BSE.tif;547CV
Sara2;NKLS;NONE;547_CV_2_15v_x30_BSE;txt;547_CV_2_15v_x30_BSE.txt;547CV
Sara2;NKLS;NONE;548_CV_1_15v_x30_BSE;tif;548_CV_1_15v_x30_BSE.tif;548CV
Sara2;NKLS;NONE;548_CV_1_15v_x30_BSE;txt;548_CV_1_15v_x30_BSE.txt;548CV
Sara2;NKLS;NONE;548_CV_2_15v_x30_BSE;tif;548_CV_2_15v_x30_BSE.tif;548CV
Sara2;NKLS;NONE;548_CV_2_15v_x30_BSE;txt;548_CV_2_15v_x30_BSE.txt;548CV
Sara2;NKLS;NONE;549_CV_1_15v_x30_BSE;tif;549_CV_1_15v_x30_BSE.tif;549CV
Sara2;NKLS;NONE;549_CV_1_15v_x30_BSE;txt;549_CV_1_15v_x30_BSE.txt;549CV
Sara2;NKLS;NONE;549_CV_2_15v_x30_BSE;tif;549_CV_2_15v_x30_BSE.tif;549CV
Sara2;NKLS;NONE;549_CV_2_15v_x30_BSE;txt;549_CV_2_15v_x30_BSE.txt;549CV
Sara2;NKLS;NONE;550_CV_1_15v_x30_BSE;tif;550_CV_1_15v_x30_BSE.tif;550CV
Sara2;NKLS;NONE;550_CV_1_15v_x30_BSE;txt;550_CV_1_15v_x30_BSE.txt;550CV
Sara2;NKLS;NONE;550_CV_2_15v_x30_BSE;tif;550_CV_2_15v_x30_BSE.tif;550CV
Sara2;NKLS;NONE;550_CV_2_15v_x30_BSE;txt;550_CV_2_15v_x30_BSE.txt;550CV
Sara2;NKLS;NONE;551_CC_1_15v_x30_BSE;tif;551_CC_1_15v_x30_BSE.tif;551CC
Sara2;NKLS;NONE;551_CC_1_15v_x30_BSE;txt;551_CC_1_15v_x30_BSE.txt;551CC
Sara2;NKLS;NONE;552_CV_1_15v_x30_BSE;tif;552_CV_1_15v_x30_BSE.tif;552CV
Sara2;NKLS;NONE;552_CV_1_15v_x30_BSE;txt;552_CV_1_15v_x30_BSE.txt;552CV
Sara2;NKLS;NONE;552_CV_2_15v_x30_BSE;tif;552_CV_2_15v_x30_BSE.tif;552CV
Sara2;NKLS;NONE;552_CV_2_15v_x30_BSE;txt;552_CV_2_15v_x30_BSE.txt;552CV
Sara2;NKLS;NONE;553_CV_1_15v_x30_BSE;tif;553_CV_1_15v_x30_BSE.tif;553CV
Sara2;NKLS;NONE;553_CV_1_15v_x30_BSE;txt;553_CV_1_15v_x30_BSE.txt;553CV
Sara2;NKLS;NONE;553_CV_2_15v_x30_BSE;tif;553_CV_2_15v_x30_BSE.tif;553CV
Sara2;NKLS;NONE;553_CV_2_15v_x30_BSE;txt;553_CV_2_15v_x30_BSE.txt;553CV
Sara2;NKLS;NONE;554_CV_1_15v_x30_BSE;tif;554_CV_1_15v_x30_BSE.tif;554CV
Sara2;NKLS;NONE;554_CV_1_15v_x30_BSE;txt;554_CV_1_15v_x30_BSE.txt;554CV
Sara2;NKLS;NONE;554_CV_2_15v_x30_BSE;tif;554_CV_2_15v_x30_BSE.tif;554CV
Sara2;NKLS;NONE;554_CV_2_15v_x30_BSE;txt;554_CV_2_15v_x30_BSE.txt;554CV
Sara2;NKLS;NONE;555_CV_1_15v_x30_BSE;tif;555_CV_1_15v_x30_BSE.tif;555CV
Sara2;NKLS;NONE;555_CV_1_15v_x30_BSE;txt;555_CV_1_15v_x30_BSE.txt;555CV
Sara2;NKLS;NONE;556_CV_1_15v_x30_BSE;tif;556_CV_1_15v_x30_BSE.tif;556CV
Sara2;NKLS;NONE;556_CV_1_15v_x30_BSE;txt;556_CV_1_15v_x30_BSE.txt;556CV
Sara2;NKLS;NONE;556_CV_2_15v_x30_BSE;tif;556_CV_2_15v_x30_BSE.tif;556CV
Sara2;NKLS;NONE;556_CV_2_15v_x30_BSE;txt;556_CV_2_15v_x30_BSE.txt;556CV
Sara2;NKLS;NONE;557_CC_1_15v_x30_BSE;tif;557_CC_1_15v_x30_BSE.tif;557CC
Sara2;NKLS;NONE;557_CC_1_15v_x30_BSE;txt;557_CC_1_15v_x30_BSE.txt;557CC
Sara2;NKLS;NONE;557_CC_2_15v_x30_BSE;tif;557_CC_2_15v_x30_BSE.tif;557CC
Sara2;NKLS;NONE;557_CC_2_15v_x30_BSE;txt;557_CC_2_15v_x30_BSE.txt;557CC
Sara2;NKLS;NONE;558_CC_1_15v_x30_BSE;tif;558_CC_1_15v_x30_BSE.tif;558CC
Sara2;NKLS;NONE;558_CC_1_15v_x30_BSE;txt;558_CC_1_15v_x30_BSE.txt;558CC
Sara2;NKLS;NONE;558_CC_2_15v_x30_BSE;tif;558_CC_2_15v_x30_BSE.tif;558CC
Sara2;NKLS;NONE;558_CC_2_15v_x30_BSE;txt;558_CC_2_15v_x30_BSE.txt;558CC
Sara2;NKLS;NONE;559_CC_1_15v_x30_BSE;tif;559_CC_1_15v_x30_BSE.tif;559CC
Sara2;NKLS;NONE;559_CC_1_15v_x30_BSE;txt;559_CC_1_15v_x30_BSE.txt;559CC
Sara2;NKLS;NONE;559_CC_2_15v_x30_BSE;tif;559_CC_2_15v_x30_BSE.tif;559CC
Sara2;NKLS;NONE;559_CC_2_15v_x30_BSE;txt;559_CC_2_15v_x30_BSE.txt;559CC
Sara2;NKLS;NONE;560_CV_1_15v_x30_BSE;tif;560_CV_1_15v_x30_BSE.tif;560CV
Sara2;NKLS;NONE;560_CV_1_15v_x30_BSE;txt;560_CV_1_15v_x30_BSE.txt;560CV
Sara2;NKLS;NONE;561_CV_1_15v_x30_BSE;tif;561_CV_1_15v_x30_BSE.tif;561CV
Sara2;NKLS;NONE;561_CV_1_15v_x30_BSE;txt;561_CV_1_15v_x30_BSE.txt;561CV
Sara2;NKLS;NONE;562_CC_1_15v_x30_BSE;tif;562_CC_1_15v_x30_BSE.tif;562CC
Sara2;NKLS;NONE;562_CC_1_15v_x30_BSE;txt;562_CC_1_15v_x30_BSE.txt;562CC
Sara2;NKLS;NONE;562_CC_2_15v_x30_BSE;tif;562_CC_2_15v_x30_BSE.tif;562CC
Sara2;NKLS;NONE;562_CC_2_15v_x30_BSE;txt;562_CC_2_15v_x30_BSE.txt;562CC
Sara2;NKLS;NONE;563_CV_1_15v_x30_BSE;tif;563_CV_1_15v_x30_BSE.tif;563CV
