DATE;SPECIMEN NR;NR OF PICS;AV;MAGNIFICATION;FORMATION;COMMENTS 
03/02/2018;441CV;2;10v;x30;NKLS;
03/02/2018;426CV;2;10v;x30;NKLS;
03/02/2018;442CV;2;10v;x30;NKLS;
03/05/2018;443CV;2;10v;x30;NKLS;
03/05/2018;444CC;2;10v;x30;NKLS;
03/05/2018;445CV;2;10v;x30;NKLS;
03/05/2018;447CV;2;10v;x30;NKLS;
03/05/2018;448CV;3;10v;x30;NKLS;
03/05/2018;449F;2;10v;x30;NKLS;
03/05/2018;450CV;2;10v;x30;NKLS;
03/05/2018;451CV;2;10v;x30;NKLS;
03/05/2018;452CC;2;10v;x30;NKLS;
03/05/2018;453CC;3;10v;x30;NKLS;
03/05/2018;618CV;3;10v;x30;TEWKESBURY;
03/05/2018;619CV;2;10v;x30;TEWKESBURY;
03/05/2018;620CV;2;10v;x30;TEWKESBURY;
03/05/2018;621CC;2;10v;x30;TEWKESBURY;
03/06/2018;622CV;2;10v;x30;TEWKESBURY;
03/06/2018;623CC;2;10v;x30;TEWKESBURY;
03/06/2018;624CV;2;10v;x30;TEWKESBURY;
03/06/2018;625CC;3;10v;x30;TEWKESBURY;
03/06/2018;626CC;2;10v;x30;TEWKESBURY;
03/06/2018;627CV;3;10v;x30;TEWKESBURY;
03/06/2018;628CV;2;10v;x30;TEWKESBURY;
03/06/2018;630CV;2;10v;x30;TEWKESBURY;
03/06/2018;631CV;2;10v;x30;TEWKESBURY;
03/06/2018;633CC;2;10v;x30;TEWKESBURY;
03/06/2018;634CV;2;10v;x30;TEWKESBURY;
03/06/2018;636CV;2;10v;x30;TEWKESBURY;
03/07/2018;813CC;2;10v;x30;TAINUI SB;
03/07/2018;814F;2;10v;x30;TAINUI SB;
03/07/2018;816CC;2;10v;x30;TAINUI SB;
03/07/2018;817F;2;10v;x30;TAINUI SB;
03/07/2018;818CC;2;10v;x30;TAINUI SB;BIG ZOOIDS
03/07/2018;819F;2;10v;x30;TAINUI SB;
03/07/2018;820F;2;10v;x30;TAINUI SB;
03/07/2018;821F;2;10v;x30;TAINUI SB;
03/07/2018;822CV;3;10v;x30;TAINUI SB;
03/07/2018;810CV;2;10v;x30;TAINUI SB;
03/07/2018;823F;2;10v;x30;TAINUI SB;
03/07/2018;824CV;3;10v;x30;TAINUI SB;
03/07/2018;825CV;2;10v;x30;TAINUI SB;
03/07/2018;826CV;2;10v;x30;TAINUI SB;
03/07/2018;827CC;2;10v;x30;TAINUI SB;
03/07/2018;828F;3;10v;x30;TAINUI SB;
03/08/2018;716CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;717CV;3;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;718CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;719F;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;720CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
03/08/2018;721CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
