date;specimen nr.;nr of pics;AV;magnification;formation;Comments
20/02/2018;616CV;2;10v;x30;TEWKESBURY;
20/02/2018;617CV;2;10v;x30;TEWKESBURY;
20/02/2018;812CC;2;10v;x30;TAINUI SB;
20/02/2018;1000CV;3;10v;x30;UPPER KAI-IWI SB;
20/02/2018;1001CC;2;10v;x30;UPPER KAI-IWI SB;
20/02/2018;1002F;2;10v;x30;UPPER KAI-IWI SB;
20/02/2018;1003CV;3;10v;x30;UPPER KAI-IWI SB;
20/02/2018;1004CV;2;10v;x30;UPPER KAI-IWI SB;
20/02/2018;1005CV;2;10v;x30;UPPER KAI-IWI SB;
20/02/2018;1006CC;2;10v;x30;UPPER KAI-IWI SB;
20/02/2018;1007CV;2;10v;x30;UPPER KAI-IWI SB;
20/02/2018;1008CC;2;10v;x30;UPPER KAI-IWI SB;
20/02/2018;1009CV;3;10v;x30;UPPER KAI-IWI SB;
21/02/2018;130CV;2;10v;x30;NKBS;
21/02/2018;131CC;2;10v;x30;NKBS;
21/02/2018;122CV;2;10v;x30;NKBS;
21/02/2018;123CC;2;10v;x30;NKBS;
21/02/2018;126CV;2;10v;x30;NKBS;
21/02/2018;129CV;2;10v;x30;NKBS;
21/02/2018;127CV;2;10v;x30;NKBS;
21/02/2018;128CV;2;10v;x30;NKBS;
21/02/2018;334CV;2;10v;x30;NKBS;
22/02/2018;333CV;2;10v;x30;NKBS;
22/02/2018;232CV ;2;10v;x30;NKBS;
22/02/2018;1100CV;3;10v;x30;WAIPURU SB;
22/02/2018;1101CC;3;10v;x30;WAIPURU SB;
22/02/2018;1102CV;3;10v;x30;WAIPURU SB;
22/02/2018;1103CC;3;10v;x30;WAIPURU SB;
22/02/2018;1104CV;2;10v;x30;WAIPURU SB;
22/02/2018;1105CC;2;10v;x30;WAIPURU SB;
22/02/2018;1106CV;2;10v;x30;WAIPURU SB;
22/02/2018;1107CC;3;10v;x30;WAIPURU SB;
22/02/2018;1108CV;3;10v;x30;WAIPURU SB;
22/02/2018;1109CC;3;10v;x30;WAIPURU SB;
23/02/2018;113CV;2;10v;x30;NKBS;
23/02/2018;117CC;2;10v;x30;NKBS;
23/02/2018;112CV;2;10v;x30;NKBS;
23/02/2018;328CV;2;10v;x30;NKBS;
23/02/2018;313CV;2;10v;x30;NKBS;
23/02/2018;314CV;2;10v;x30;NKBS;
23/02/2018;323CV;2;10v;x30;NKBS;
23/02/2018;324CC;3;10v;x30;NKBS;
23/02/2018;315CV;3;10v;x30;NKBS;
23/02/2018;316CC;3;10v;x30;NKBS;
23/02/2018;118CC;2;10v;x30;NKBS;
23/02/2018;121S;2;10v;x30;NKBS;
23/02/2018;298CC;2;10v;x30;NKBS;
23/02/2018;187CV;2;10v;x30;NKBS;
26/02/2018;1011CV;3;10v;x30;UPPER KAI-IWI SB;BIG ZOOIDS
26/02/2018;119CV;2;10v;x30;NKBS;
26/02/2018;183CV;2;10v;x30;NKBS;
26/02/2018;184CC;2;10v;x30;NKBS;
26/02/2018;185CV;2;10v;x30;NKBS;
26/02/2018;182CC;2;10v;x30;NKBS;
26/02/2018;186CV;2;10v;x30;NKBS;
26/02/2018;297CC;2;10v;x30;NKBS;
26/02/2018;293CV;2;10v;x30;NKBS;
26/02/2018;299CV;2;10v;x30;NKBS;
26/02/2018;294CV;3;10v;x30;NKBS;
26/02/2018;295CC;3;10v;x30;NKBS;
26/02/2018;087CV;2;10v;x30;NKBS;
26/02/2018;088CC;2;10v;x30;NKBS;
26/02/2018;089CV;2;10v;x30;NKBS;
26/02/2018;086F;2;10v;x30;NKBS;
28/02/2018;090CC;2;10v;x30;NKBS;
28/02/2018;083CC;2;10v;x30;NKBS;
28/02/2018;084CV;2;10v;x30;NKBS;
28/02/2018;075CV;3;10v;x30;NKBS;
28/02/2018;106CC;2;10v;x30;NKBS;
28/02/2018;107CV;2;10v;x30;NKBS;
28/02/2018;105CV;2;10v;x30;NKBS;
28/02/2018;093CV;2;10v;x30;NKBS;
28/02/2018;094CC;2;10v;x30;NKBS;
28/02/2018;103CV;2;10v;x30;NKBS;
28/02/2018;074CV;2;10v;x30;NKBS;
